study_hours,attendance,assignments_completed,previous_score,pass
7.0,99.0,4.0,68.0,1
9.0,60.7,2.0,86.0,1
3.2,85.0,5.0,66.0,1
6.9,51.3,9.0,77.0,1
1.8,120.0,7.0,30.0,0
2.7,51.5,1.0,56.0,0
6.7,71.7,5.0,41.0,1
8.0,73.3,4.0,72.0,1
9.7,84.1,5.0,89.0,1
2.8,58.8,5.0,84.0,1
5.5,63.8,7.0,90.0,1
4.4,67.5,9.0,46.0,1
7.2,82.6,5.0,83.0,1
4.7,92.4,6.0,87.0,1
3.8,99.8,10.0,47.0,1
7.4,52.7,0.0,33.0,0
9.9,74.2,10.0,73.0,1
8.2,85.1,7.0,75.0,1
4.8,98.3,0.0,95.0,1
7.6,67.0,2.0,80.0,1
4.0,86.7,9.0,52.0,1
6.2,93.5,2.0,56.0,1
3.9,90.2,2.0,87.0,1
4.3,94.2,2.0,64.0,1
5.6,51.3,6.0,94.0,1
1.4,99.3,7.0,63.0,1
7.4,94.7,8.0,31.0,1
4.4,79.2,2.0,45.0,0
2.3,86.1,5.0,57.0,1
1.4,64.6,4.0,90.0,0
4.5,84.4,0.0,71.0,1
3.6,67.5,10.0,83.0,1
5.8,76.6,10.0,32.0,1
8.4,63.6,4.0,61.0,1
4.3,72.2,9.0,77.0,1
3.4,57.7,10.0,43.0,1
7.0,53.7,9.0,89.0,1
7.9,99.6,7.0,32.0,1
9.0,66.4,1.0,60.0,1
9.8,69.5,1.0,72.0,1
8.3,72.2,2.0,71.0,1
5.7,91.9,1.0,89.0,1
5.7,91.9,7.0,58.0,1
6.9,81.6,10.0,39.0,1
1.2,88.2,2.0,81.0,0
6.7,120.0,0.0,34.0,1
4.7,64.9,2.0,88.0,1
8.7,76.6,2.0,58.0,1
9.5,66.2,5.0,46.0,1
5.2,97.8,10.0,86.0,1
2.6,60.3,3.0,62.0,0
3.7,92.0,6.0,95.0,1
2.3,75.5,5.0,79.0,1
4.9,78.8,3.0,51.0,1
2.7,90.3,6.0,95.0,1
3.9,76.4,0.0,32.0,0
7.3,89.0,8.0,64.0,1
7.5,74.8,10.0,92.0,1
8.2,56.9,5.0,52.0,1
5.8,90.7,2.0,31.0,1
2.9,60.1,2.0,86.0,0
6.7,69.2,6.0,90.0,1
2.4,74.5,6.0,65.0,1
7.1,87.2,2.0,95.0,1
9.1,56.3,9.0,90.0,1
3.7,87.2,10.0,35.0,1
3.5,90.7,6.0,93.0,1
8.7,62.1,8.0,91.0,1
5.4,59.4,1.0,51.0,0
8.0,53.5,3.0,30.0,1
5.0,67.7,5.0,40.0,1
1.6,77.3,4.0,63.0,0
7.4,94.8,3.0,91.0,1
2.6,65.3,6.0,53.0,0
8.3,56.6,8.0,77.0,1
3.5,120.0,8.0,73.0,1
5.9,79.1,9.0,88.0,1
9.0,94.9,7.0,83.0,1
4.4,57.2,0.0,67.0,0
7.3,96.3,8.0,74.0,1
9.5,56.2,4.0,64.0,1
7.9,63.2,1.0,66.0,1
9.3,87.3,10.0,77.0,1
5.4,79.5,1.0,75.0,1
8.3,91.0,1.0,95.0,1
3.6,57.4,10.0,75.0,1
2.6,88.2,7.0,45.0,1
3.2,74.8,8.0,,1
9.0,81.6,5.0,74.0,1
6.1,61.8,8.0,39.0,1
2.1,77.3,1.0,46.0,0
3.3,50.5,3.0,55.0,0
9.5,51.8,7.0,76.0,1
4.8,97.7,6.0,56.0,1
7.9,56.3,8.0,55.0,1
5.6,51.3,6.0,94.0,1
8.7,54.2,0.0,68.0,1
7.2,62.7,10.0,64.0,1
8.0,71.9,9.0,150.0,1
5.9,75.7,10.0,93.0,1
5.8,88.1,8.0,92.0,1
9.9,64.3,10.0,64.0,1
2.8,82.3,0.0,38.0,0
5.9,57.9,1.0,80.0,1
3.0,92.7,5.0,52.0,1
6.7,87.4,2.0,66.0,1
4.6,89.8,9.0,90.0,1
1.1,65.6,10.0,91.0,1
3.9,79.4,1.0,70.0,1
8.5,89.3,9.0,44.0,1
4.1,53.2,1.0,52.0,0
9.6,88.8,4.0,39.0,1
2.3,66.1,3.0,,0
2.7,76.2,5.0,41.0,0
7.7,78.1,7.0,74.0,1
3.1,53.0,9.0,66.0,1
6.0,96.1,6.0,38.0,1
3.5,78.4,8.0,44.0,1
8.3,79.2,5.0,58.0,1
6.3,60.0,3.0,52.0,1
1.8,78.4,0.0,41.0,0
8.9,120.0,4.0,35.0,1
1.3,71.8,9.0,69.0,1
4.4,81.5,7.0,50.0,1
7.8,95.7,3.0,95.0,1
5.1,53.4,0.0,54.0,0
1.3,55.6,10.0,45.0,0
9.6,81.5,0.0,59.0,1
5.5,95.8,7.0,36.0,1
7.2,73.6,10.0,74.0,1
4.4,51.3,3.0,76.0,0
2.0,94.8,9.0,51.0,1
4.9,58.8,10.0,47.0,1
4.1,91.9,10.0,50.0,1
4.6,80.3,5.0,48.0,1
3.3,84.4,2.0,89.0,1
3.2,83.8,0.0,31.0,0
3.7,60.9,4.0,33.0,0
1.9,68.0,2.0,52.0,0
7.0,,1.0,62.0,1
4.9,74.3,8.0,88.0,1
6.6,69.6,9.0,81.0,1
9.7,80.5,4.0,73.0,1
5.5,98.9,7.0,32.0,1
4.7,54.1,6.0,42.0,0
8.2,79.4,9.0,50.0,1
6.0,65.1,6.0,35.0,1
1.4,67.0,3.0,54.0,0
9.0,61.6,0.0,59.0,1
-2.0,85.0,3.0,82.0,1
1.2,95.5,3.0,60.0,0
1.5,90.1,1.0,56.0,0
6.9,62.8,9.0,35.0,1
8.0,74.0,7.0,88.0,1
9.2,72.2,8.0,65.0,1
5.7,61.9,0.0,46.0,0
3.9,81.9,2.0,79.0,1
2.1,96.2,4.0,47.0,0
2.5,92.9,5.0,30.0,0
4.7,54.0,0.0,74.0,0
3.1,73.9,7.0,90.0,1
10.0,52.1,10.0,52.0,1
8.3,99.1,5.0,57.0,1
5.5,75.2,5.0,57.0,1
6.3,52.3,2.0,63.0,1
2.2,60.6,5.0,68.0,0
8.6,61.1,1.0,87.0,1
8.7,81.5,9.0,67.0,1
4.7,64.9,8.0,73.0,1
4.2,65.2,5.0,87.0,1
6.6,58.2,5.0,84.0,1
2.8,75.9,10.0,43.0,1
7.8,73.2,4.0,38.0,1
6.5,83.9,4.0,41.0,1
7.0,92.9,2.0,57.0,1
8.7,82.5,0.0,78.0,1
4.7,95.7,4.0,55.0,1
6.8,79.4,4.0,64.0,1
9.6,88.8,9.0,84.0,1
3.4,51.8,4.0,80.0,0
1.6,58.9,10.0,68.0,1
9.6,54.8,9.0,85.0,1
4.1,87.4,1.0,68.0,1
4.2,69.4,10.0,66.0,1
2.9,53.1,0.0,82.0,0
1.2,,7.0,59.0,0
6.8,78.5,10.0,54.0,1
9.8,95.8,0.0,70.0,1
3.9,66.0,9.0,54.0,1
9.4,80.0,10.0,73.0,1
4.6,68.1,5.0,64.0,1
6.5,61.2,-3.0,150.0,1
1.8,61.6,0.0,40.0,0
6.7,90.5,1.0,35.0,1
8.7,63.7,4.0,79.0,1
1.3,60.9,0.0,82.0,0
6.4,98.3,6.0,50.0,1
7.6,66.1,6.0,34.0,1
1.9,78.6,4.0,60.0,0
6.1,77.9,6.0,32.0,1
5.1,72.3,7.0,75.0,1
2.4,99.0,10.0,65.0,1
6.9,81.7,2.0,42.0,1
8.8,55.5,9.0,83.0,1
4.2,55.4,8.0,59.0,1
3.6,69.6,4.0,39.0,0
2.6,98.0,9.0,93.0,1
4.8,97.4,6.0,55.0,1
7.5,52.6,6.0,49.0,1
6.0,55.3,0.0,57.0,0
1.8,60.7,0.0,70.0,0
1.3,87.8,7.0,81.0,1
3.8,77.7,8.0,78.0,1
7.0,78.9,0.0,89.0,1
3.1,53.3,3.0,80.0,0
7.4,58.9,10.0,48.0,1
7.1,70.2,9.0,81.0,1
9.8,85.7,2.0,55.0,1
1.3,68.2,10.0,75.0,1
7.3,94.9,4.0,85.0,1
9.1,73.6,3.0,35.0,1
5.6,120.0,8.0,48.0,1
3.4,94.9,9.0,80.0,1
8.2,56.5,-3.0,76.0,1
5.5,90.9,2.0,61.0,1
9.1,50.8,2.0,53.0,1
7.1,66.3,1.0,59.0,1
4.9,76.3,5.0,77.0,1
8.8,52.0,7.0,45.0,1
9.8,63.6,1.0,82.0,1
8.0,79.8,9.0,70.0,1
2.6,74.6,6.0,68.0,1
2.5,61.0,2.0,33.0,0
8.3,98.6,7.0,73.0,1
3.5,64.3,9.0,38.0,1
7.7,78.0,,78.0,1
6.8,61.6,6.0,93.0,1
5.4,73.4,10.0,57.0,1
2.8,93.3,0.0,42.0,0
3.1,57.9,7.0,54.0,0
