tenure_months,monthly_charges,support_tickets,avg_session_minutes,late_payments,contract_months,target
15,107.36,3,53.19,1,55,1
16,96.28,3,26.96,3,47,1
56,234.25,2,7.66,4,35,0
33,206.43,3,60.6,1,19,0
36,73.93,3,21.51,2,3,0
35,196.9,3,14.35,2,7,0
10,174.42,3,15.04,6,45,0
35,85.5,5,56.31,4,6,0
46,52.31,6,35.13,5,51,0
3,246.7,4,32.7,10,29,1
23,230.8,5,46.59,2,32,0
17,204.17,2,33.09,5,28,1
36,99.25,5,38.76,4,43,0
55,329.12,3,17.19,2,32,0
23,1530.68,3,41.84,2,21,1
4,159.19,1,14.55,2,37,1
39,205.39,2,36.35,4,23,1
19,80.97,1,2.0,2,45,0
41,81.46,1,39.12,4,58,0
9,477.78,2,57.16,3,40,1
18,682.16,3,43.2,4,26,1
24,119.55,2,33.76,4,40,1
50,90.08,5,33.86,4,14,1
34,74.88,3,29.2,3,33,0
38,92.77,2,2.0,1,11,0
43,146.62,4,53.1,2,43,1
37,59.56,6,44.8,1,18,0
53,86.34,5,15.62,2,37,1
14,271.54,2,33.27,4,38,0
39,125.32,2,58.78,4,11,0
16,81.76,2,10.0,4,32,1
34,62.19,4,35.08,4,46,1
24,294.59,2,46.76,3,26,1
56,67.74,4,19.66,1,5,0
3,126.83,6,46.05,3,53,1
33,280.4,3,16.81,6,1,0
4,203.55,2,58.16,3,37,1
22,171.33,3,26.93,4,15,0
40,172.48,4,17.76,4,19,0
15,72.44,2,40.93,4,45,0
19,84.84,4,2.0,3,1,0
41,101.33,3,31.04,10,7,0
44,19.03,3,31.08,3,55,1
39,104.8,4,74.65,3,34,0
5,130.61,5,46.93,1,8,1
21,132.14,6,57.19,1,10,0
45,128.51,1,19.66,4,55,0
52,161.39,3,12.01,5,20,0
13,168.96,5,4.48,2,50,1
24,436.7,0,48.55,3,8,0
53,156.15,3,15.29,6,50,0
8,253.97,5,8.56,4,10,1
55,92.81,2,55.74,2,28,1
23,176.25,5,53.87,2,3,0
42,172.1,0,25.88,1,60,1
27,120.08,3,27.38,4,38,1
24,42.84,5,31.6,3,40,0
23,55.22,4,18.57,4,49,0
2,192.81,4,15.68,4,53,1
55,136.13,4,37.98,3,44,0
46,118.94,3,34.6,2,38,1
56,88.05,3,17.09,2,10,0
34,150.52,5,53.99,2,45,1
58,210.86,3,75.62,6,27,1
5,517.93,3,15.57,6,20,1
22,140.58,2,29.16,3,53,1
35,125.81,4,2.0,2,58,0
29,172.07,6,55.4,3,53,1
1,321.14,1,6.58,2,21,1
7,713.35,4,34.2,0,1,1
28,211.17,7,46.27,3,22,1
50,52.45,1,50.28,1,11,0
37,145.78,2,10.36,3,22,1
18,64.93,8,18.87,0,54,1
49,73.26,5,28.61,2,10,0
54,507.83,2,2.0,1,10,1
18,112.79,3,20.27,3,9,0
56,87.39,6,45.44,3,36,0
14,375.24,4,54.06,2,4,1
35,152.37,2,8.21,2,27,0
20,65.5,3,15.56,3,50,1
44,150.79,1,18.65,2,14,1
4,54.63,1,59.71,4,46,1
4,79.52,3,21.35,3,42,0
56,165.26,1,36.1,1,30,0
11,24.48,4,56.39,2,39,1
53,239.33,4,47.47,2,24,0
41,173.61,0,48.01,1,43,1
37,261.77,4,58.41,6,32,1
44,110.82,4,2.0,3,42,0
5,195.71,5,40.71,2,35,1
4,73.16,2,38.07,3,32,0
6,76.58,4,21.22,3,9,0
2,156.93,3,54.5,3,8,1
56,148.9,6,58.73,1,46,1
27,145.21,2,22.36,2,19,0
8,375.81,1,4.22,1,17,1
19,120.8,2,2.0,2,24,0
9,200.28,5,74.58,4,21,1
55,186.12,1,22.74,8,30,0
48,163.48,2,40.16,3,5,0
1,195.3,7,35.13,2,14,1
19,43.62,2,65.2,1,23,1
40,99.4,2,5.6,4,34,0
25,316.58,6,29.61,0,23,1
14,119.29,1,17.66,5,23,0
25,238.58,2,24.73,4,42,0
26,203.69,3,12.1,2,4,0
43,17.44,3,13.04,0,14,1
34,58.6,4,38.44,3,29,0
29,91.97,6,37.23,9,14,0
37,90.98,1,10.08,4,36,0
49,106.99,3,30.67,2,38,0
6,108.25,6,12.98,4,45,0
30,82.81,2,48.76,3,11,1
46,91.85,2,50.31,3,50,1
18,37.32,6,57.13,2,46,1
53,567.56,2,28.91,6,12,0
12,386.32,4,22.51,4,45,0
3,269.43,4,34.31,1,17,1
46,137.71,6,24.15,3,7,0
46,77.17,5,34.67,3,54,1
14,802.42,3,24.17,7,51,1
60,75.44,8,10.84,4,12,0
37,396.76,0,39.83,3,55,1
3,180.96,4,51.53,3,12,1
37,77.01,6,48.01,3,17,1
21,82.27,4,10.85,3,34,0
58,108.52,4,61.3,6,46,0
17,94.05,5,2.0,3,15,0
6,54.1,3,21.29,1,10,1
53,195.88,4,36.96,3,53,0
13,76.53,7,35.76,1,24,0
20,248.19,6,28.86,1,2,1
40,128.41,3,25.03,4,39,1
20,160.73,3,27.0,4,31,0
20,157.76,6,55.29,3,52,1
30,110.88,4,56.58,2,55,1
8,135.85,3,37.15,3,26,0
33,164.15,1,14.58,6,39,0
54,732.55,1,47.51,2,60,1
60,59.11,2,63.69,5,31,0
44,88.85,9,49.41,2,42,0
36,110.72,5,21.71,3,53,1
14,60.1,0,27.46,2,1,1
53,56.96,5,62.32,6,15,0
6,48.77,4,41.08,3,59,1
43,137.97,3,14.72,2,48,1
51,98.61,8,60.43,3,53,0
28,161.16,6,24.86,5,55,0
35,52.66,2,69.4,1,31,0
49,76.58,4,84.28,7,14,0
56,270.34,2,66.87,2,40,1
2,241.46,1,51.63,1,41,1
32,47.87,4,36.92,5,27,0
25,254.01,3,7.83,4,24,0
14,96.93,3,21.94,3,2,1
52,65.47,9,13.31,0,28,0
9,236.3,2,24.69,4,25,1
21,266.17,4,42.43,5,51,0
26,24.78,4,25.26,6,15,0
14,258.9,1,53.11,4,38,1
42,99.46,5,19.69,2,21,0
39,97.5,4,45.26,3,45,1
1,108.12,4,58.77,2,11,1
10,296.15,2,21.29,1,4,1
24,336.62,3,32.52,3,19,0
53,175.78,0,15.56,5,53,1
25,238.92,5,20.53,5,10,0
26,611.99,4,39.39,3,60,1
41,135.77,5,39.26,3,12,0
48,67.67,4,51.7,2,46,1
12,198.24,1,20.16,3,5,1
41,224.77,2,39.14,3,2,0
53,123.15,1,48.46,2,51,1
54,120.32,1,32.7,1,18,1
20,617.21,4,40.26,4,28,0
47,115.07,2,4.8,2,13,0
50,73.84,4,15.94,3,36,0
10,21.13,8,58.11,2,52,0
50,244.7,1,2.0,5,14,0
56,336.34,3,2.0,0,53,1
54,61.02,3,37.27,2,60,0
53,207.9,1,3.86,3,47,0
16,109.31,2,64.97,3,54,1
30,145.23,0,60.17,4,26,1
51,92.02,1,20.13,2,49,0
6,137.91,3,37.08,3,49,1
14,254.72,6,15.99,6,15,1
13,97.54,1,2.0,3,17,0
24,86.77,2,40.04,2,11,0
7,68.91,3,4.03,4,9,0
11,306.35,5,46.9,2,49,1
60,77.94,5,64.32,6,12,0
30,215.68,3,41.38,4,35,0
49,58.54,2,64.08,3,26,0
5,31.51,2,32.76,2,59,1
4,94.38,3,51.15,2,33,0
58,164.59,4,53.34,5,11,0
58,297.96,3,26.59,4,33,0
1,243.68,2,46.29,1,56,1
15,175.0,5,37.69,3,50,1
30,24.53,1,3.72,0,60,1
39,195.7,3,19.11,2,40,1
51,49.82,6,20.55,4,3,0
1,85.94,5,15.4,2,55,1
8,487.51,7,19.26,2,28,0
2,281.92,4,59.05,3,11,1
36,65.98,2,21.39,2,49,1
33,110.13,4,44.73,6,2,0
32,243.18,5,69.01,1,15,0
13,126.77,1,32.93,4,10,1
46,120.9,3,25.03,3,12,0
55,64.24,5,41.58,1,14,0
42,204.73,3,2.0,2,28,0
60,224.73,1,18.61,3,3,0
50,80.72,4,37.64,5,14,1
6,34.21,6,2.0,6,34,0
48,497.95,3,60.01,0,59,1
38,86.48,5,46.07,3,10,0
35,188.94,4,60.43,5,26,1
13,77.8,2,25.74,3,5,0
21,84.05,3,33.59,4,10,1
22,275.85,1,53.71,3,19,1
7,113.44,0,72.04,1,48,1
21,242.63,4,53.2,5,39,0
10,246.73,2,45.37,4,58,0
